puntaje,reseña
6,"Excellent intro level puzzle game.
The rules are dead simple.
The complexity comes in the interaction (what do you do with colors called by other players) and the building variety.
Easy enough to be very accessible but interesting enough to be enjoyed by gamers. That is not easy to accomplish."
8,A neat resource placing game. You can easily run out of space on your board very quickly.
,"2023 July: Given free copy at Gem State Convention (Boise, ID) when we played it with comedian, Grant Lyons, who was hosting the game & taught us how to play."
7.5,"2.07 Complexity
Nice town building, decent replay-ability
Upgraded Insert + Stickers
SOLD"
7.2,"Good game of building a tiny town. Some buildings are overpowered, but if everyone realizes it and goes for the same buildings, scores are pretty close. The inclusion of monuments prevents all the boards from looking the same, so it is a necessity."
7.5,"Fun, quick game. Plays in 30 minutes. Cross between Dominion, Quadropolis and Tetris. Not for people who don't like spatial puzzles."
7,"1-6 players; 45 min; weight med-light.
As the game progresses, it gets more and more challenging to complete your buildings. It is a decent game, but wasn't quite as fun as I expected. I think it's because at some point, you will inevitably make a small misjudgement, and end up not optimizing your points. The game is fairly well balanced, and thus, regardless of your strategy, scoring is usually pretty close for evenly skilled players. I haven't played the solo variant yet, but it looks like it could be a very good solo game based on what I saw in a review."
7,"Want to play, but I have Reef, so maybe shouldn't get this?"
6,"Tiny Towns perfectly balances to the two strategic aspects of the game; planning and execution. Since the scoring combinations change each game, players must effectively parse the scoring opportunities and identify new synergies. They are then challenged to take advantages of these synergies and effectively execute their plan. Inevitably the player's will become trapped in a prison of their own making, and curse their mistakes from a few rounds previous, but in an manner that is enjoyable rather than frustrating. All of this comes wrapping in a highly accessible package and will engage players of various skill sets and experience."
8,"Have only played it a handful of times, but enjoyed it every time. People that are not good at thinking ahead and planning for random changes may get frustrated, but the game is fast enough that you can get multiple games in a night."
8.2,"No surprise, but the game is awesome. It's quick, simple and fun. You're making buildings by matching cube patterns on the recipe cards. It's a fun spatial puzzle and I think I like it better than Azul and Sagrada."
7,"More thinky than one would expect. Simple gameplay, easy to teach. Not sure it's going to make it to the table as much as I would've hoped."
6,A lot of people said they liked this game. I played it and it's VERY light. Yes there is some strategy but not enough to make me want to play it again and again. I'd rather play other games that give me a bit more. I would recommend Azul over Tiny towns any day if gateway or filler games is what you are after. It's visually bland in my opinion.
8,"This game is just a blast. It plays well at all player counts, easy to pick up and play, very fun socially at the table, and great for all skill levels. Will play this game any time it's out."
8,"This is a lot of fun. I like the puzzle of trying to build everything, while placing buildings that need certain cubes."
7.5,"First 2 plays under our belt. GF really likes the game, good brain game without being too exhausting. Like the building mechanic on top of an Azul-like engine. Looking forward to expansions."
7.5,"Simple, pattern and building. Satisfying if you can build at the right time, frustrating if not!"
6.5,Simple but thinky. Cards change and mix the game up which adds to replayability.
8,"Cute and fun. Requires some planning that can get squashed by other players' choices, but sometimes there is way out of the darkness."
,Got this for Jenny for Christmas! Looks like fun and came recommended.
7,"A nice solid game of placing cubes in attempt to build the best tiny town that will pay off and give you the most points in the end. Love all the bright cube colors that represent the types of buildings you are working on, and also love the turn aspect that forces other players to make their situations work based off of every other players turns too. Its puzzley and buildy, and I like that! Great choice!"
7.5,Very fun little puzzle game. Everyone seems to like it more than I do. Keeper.
5,"Not bad, just nothing that stands out for me. May just be personal taste."
7,Bingo with spatial building and a few twists. It’s the perfect opener.
7.6,Very enjoyable puzzle game with some nifty decisions to be made on such a small playing area. Fun with 2
4.5,follow the leader but super restrictive and not very good... there are now tons of better version of this game.
4,"pithy playtime
 diminished downtime
 bonny bits

 incidental interaction

I could be convinced to play this as a two player game, where I could potentially look across the table at my opponent’s board and care about what they are doing, so that I might then try to make choices that make their future choices more difficult. As is, because I don’t care what my opponents are doing while we play

Thankfully, the designer removed the dice, but unfortunately they also removed the central board, the blocking, and trading 

I'd rather play Medina"
7,"Spatial reasoning game where you're picking and placing resources on your grid to create configurations that allow you to build a matching building. This isn't really my favorite type of game (partly because I'm very bad at them), but I enjoyed the challenge and would play again."
7.5,"A wonderful little building roulette game with tetris mechanics. Very chaotic with 4+ players, so much so that I actually do not prefer it with any more than 4."
6.8,"The game is cute and the components are great. The concept is interesting but the game is very punitive and frustrating sometimes, since the resource you take is imposed by the first player. In the same category, I would recommend Shake that city, where the players have multiple choices."
,"Acheté les autocollants au Black Friday 2023 à La Pioche pour 15,39$ +txs."
5,The monument powers are unbalanced; especially if someone gets the place anywhere compared to score a few extra points.
7.5,"Great game, a bit same-y. Also, it takes more time to set up than it does to play for my group."
8,"+ Villagers expansion
+ Larkstone & FLGS promos

Rating based on (mostly) solo & 3 players.

A light and fast game, but with a difficult spatial puzzle. The interaction in this is low--much lower than I would normally like--but what interaction is there would become more important as one becomes more comfortable with the game. In any case, the puzzle was enough to keep my attention and create enough angst even without others messing me up!

For solo, I prefer playing with the Town Hall variant, which basically mimics a multiplayer game and so you're not really missing out on much."
8,"Solo play only, but I really like it. I say if anyone is a fan of games based around forming Tetris type patterns and scoring and getting benefits, this is a good match. In short, puzzley goodness. Yes, I join the choir of it. Still need to play multiplayer and and with expansions."
6,"This was a definite one play and done, the game just isn't for me."
8,"Puzzle it out or just relax and build stuff, it is fun ether way!"
6,"Each time I play this game, I like it less and less."
,"Gift. Also have 2 promo cards from AEG.
+ Fortune ($10)
#SOLO"
6,"Simple resource gathering game to build a pattern with rotating cards that determine the end game points, kind of Cascadia-ish. Didn’t really enjoy it all that much after one play- just wasn’t all that fun for me, and was more abstract than the art/tokens led on, but may adjust after playing at other player counts!"
9,Really like this game. - played at 2 to 6 players…. All good.
7,"Not much to sink your teeth into or leave you wanting more, but it's fun and the endgame is surprisingly challenging. Plus, the barrier to entry is very very very low. Minor ding for being visually boring at the start."
6.5,"Another nice little optimisation puzzle, with a good array of replayability from the different building cards."
5,"Completely innocuous title. You're simple calling out a cube color and everyone places down that piece. Form them in the right shape and you can build a building into one of those spaces. The game starts off easy, but your board quickly becomes clogged, especially if you have to place a cube of a color that you don't want. A lot of the cards score points off each other.

I'd certainly play it again, but I'm not going to go out of my way to suggest it. I think with 5-6 players the game would be far too hard to plan. 3-4 seems to be the sweet spot."
7.3,Classic easy to learn difficult to master game. This game frustrates you (in a good way) by never letting you get comfortable with a specific game plan.
9,"A wonderful town-constructing, grid-covering, pattern-building game that teaches and plays very quickly. The various building type configurations, personal monument goals, and game modes are sure to keep this feeling fresh for a while. Peter McPherson's design is elegant and puzzly, and I really enjoy the warm and friendly artwork. The production quality from AEG is also (unsurprisingly) outstanding. Fans of abstract, pattern-building, spatial games such as Azul and Sagrada should love Tiny Towns. Highly recommended for family and solo gamers, but do not let the cute artwork deceive you into thinking this is a simple game!"
7,"The simplicity of the game and the simultaneous play initially won me over. I also tend to like games with a lot of variable scoring conditions (which this has thanks to the number of buildings). But the more I played, the less I enjoyed it. The options become tighter as the game continues, which is an interesting dynamic to manage but not particularly fun. I also since discovered other drafting games with end-game scoring that was more interesting. And although they may lack the simultaneous play, they have more player agency."
6,"(Boardgamebliss.com, 2019-06-04)
(Traded for a gift certificate in the Fall 2021 - Free Shipping Canadian Math Trade, 2021-10-19)

Tiny Town is a nice little game of area planning with a touch of evil in it that will please many gamers. Plays quickly."
5,"It's fine, pretty well made but easy to get cornered in that you end up not caring or just hate drafting. Wish the map board was bigger"
,It's cute. My friends didn't want to play it; my wife said she'd try it but it never got to the table. Sold to make way for other games that would get played.
3,I wanted to like this game - I know that people liked it quite a bit and I usually like games like this. But there was a lethal combination of boredom and heavier rules load than I was expecting. It all felt clunky and aggravating.
7.5,"Grew on me. Lumpy, thinky, pretty, enjoyable and I'm not that bad at it lol. Looking forward to the expansion, anticipating my rating to rise!

Google AmassGames for videos"
7,"This is the kind of game I want to enjoy but seem to do very poorly at. Deceptively challenging to manage your small grid while trying to leave room to build and place buildings to combo rewards and points. More plays could lead to this 7 rating going up or down, but a nice product and easy to learn."
9,This game wrecks me with AP but it's still so good! Yet another staple in my household
7,Abstract puzzle game in which players deploy resources simultaneously into specific formations that become buildings when completed. Players must use foresight and think several moves ahead. Space is limited and players must avoid wasting resources. Immense replay value found within the buildings which can be randomized each session. Very accessible to all! Great game.
7.3,this is like 'ah shit' the game. i love when i realize i've screwed myself. VERY big feelings of 'ok go again' when this wraps up
5,Reminds me of phone games like 2048 and the whole genre of match stuff on a grid to build. I appreciate that Tiny Towns has a variety of different buildings from game to game.
6,A game I like to bring out to teach people who are getting into board games and are ready to start going past games like catan or ticket to ride. My favourite part is always how people realize four turns in how to play and how screwed they are from their initial decisions lol. Kiwi also enjoys playing this game
9,"Currently played five games with 2-3 people
Games is very engaging and feels quite deep and varied
Has enough simplicity it can be taught in a short period so good for off the cuff nights (as was tonight)
Feel like this will be one regularly returned to!"
5,"Had played at two with just my husband and I enjoyed it more than he did. Has always been on our minds to maybe sell one day but I wanted to try it with more people. Have played at two with and without the ""bingo"" style variant. Finally played with 4 and we did not use the ""bingo"" style variant. Really did not enjoy it at all at a higher player count. Also realized how small the grid really is and how incredibly difficult it really can be to get a decent score just based on one wrong cube placement. Really wanted to like this, super cute and nice components but finally just gave it away."
8,"Expansions:
Tiny Towns: FLGS and Larkstone Promo Cards
Tiny Towns: Villagers
Tiny Towns: McPherson Manor Promo Card"
,"Variable Phase Order

Bingo
End Game Bonuses
Follow
Grid Coverage
Pattern Building
Player Elimination
Solo / Solitaire Game
Turn Order: Progressive
Variable Phase Order
Variable Player Powers
Variable Set-up"
7,"This is a really fun game. Nice components, great variety of player counts, thought provoking without being overly complex and a nice bit or replay-ability. It has a nice mix of strategy and tactics to it without taking it self too seriously. Very nice design."
5,"I've been very fortunate to have been playing such good, quick, simple games lately. Tiny Towns is a game in the puzzly solitaire-ish simultaneous play category (think Karuba). Each turn the lead player chooses a building resource that each player will place somewhere on their board. Players need to place resources in the shape of various building plans (plans are chosen randomly at the start of the game and shared/static throughout the game). When a player has placed resources in the desired shape, at any time, the player may reduce the shape into the building - placing the building permanently on any one square of the shape and thus freeing up more space for the player. Buildings have special abilities and scoring opportunities. Players each also have a unique monument only they may build and which they may build only once

Play is fast and breezy but surprisingly not devoid of interaction. You may need stone and brick but the other players keep giving you wheat - which you have to do something with. Your free space available will fluctuate throughout the game but will ultimately converge to zero thus it is very important to plan and pace your buildings. In addition, knowing what other players are trying to do could be crucial; why choose a brick over a stone on your turn if you know your opponent needs two bricks? Additonally, how you reduce your resources into buildings is critical as you need to make sure you'll still be able to fit the shape of the next building you need. Scoring opportunities range from simple multipliers to adjacency to majority scoring to scoring buildings only if they are ""powered"" by other buildings. There is a big stack of cards too which means every game will be different

At two players I think this had a little bit too much control for me. Being able to influence the decision of 50% of the resources means you can build pretty much exactly what you want without much trouble. I think three players would be the sweet spot as it would force you to cooperate just a little bit. At higher player counts I think you'll need to use the alternate resource card variant to keep the game from being total chaos

Tiny Towns is a pretty brilliant design. It is puzzly and breezy but it still has enough bite and variety for gamers. It might not be your cup of tea if you only like very heavy games but I found it deeper than the look of it makes it out to be. It is simple enough for the family, tricky enough for gamers, fast enough for a weeknight, and noncomative enough for couples (without being completely uninteractive). Great game that I think can only get better for me

EDIT: Tiny Towns presents a good efficiency puzzle and is one of the best uses of Bingo mechanics I've seen. After a couple of plays it feels like you are doing more or less the same thing every game though"
3,"This game is just not to my taste. I don’t enjoy the game design or mechanism at all.

The element of luck with the card draws and resource selection is unfair. One or two wrong placements on the board and it can leave you unable to recover, and only able to chose suboptimal placements. A player who is lucky with early placement selection will almost always have a much higher score."
8,Received at 2023 PNW Game Swap as a side trade for a copy of Elder Sign.
10,Previously owned two copies. You can just keep adding more boards as you add players; the game scales infinitely.
10,"This game is easy to learn, and has moderate difficulty to master. I love it and I'm hooked."
8.4,Really great little puzzle. Always a fun one to pull out.
5,"It's kind of a flip and write but you take turns dictating what the ""flip"" is. No particular aspect of this game is that interesting to me but the interaction is a bit more there than in games of its ilk. On the negative side, that interaction can feel somewhat one-dimensional, or like unintentional screwage."
,Has stickers I bought on Etsy that really make the game pop on the table.
8,"Pretty sure I'll never win against my wife at this game, but it's a great time all the same."
9,"This game is brilliant! Played it 4 games in a row against my girlfriend, lost each game, and I still think it is a lot of fun. The game is very simple to learn with difficult decisions to be made as you play, especially as there is less and less space to work with on your board. A must have in any collection."
6,"I am really unsure how I feel about Tiny Towns, but I think I lean towards it being a game I'm not interested in.

There are parts of it I like--trying to plan out your placements while remaining flexible with what colors others are putting down is an intriguing puzzle.

But then, I really dislike how chaotic and out of control things can seem--if your opponents start calling colors you don't need, it can just completely kill one's game. And perhaps with more time and practice it will be easier to predict what others are doing and so one can play into that better. But that seems a bit tricky to get good at.

The other part I really dislike is that because of the above type of thing, players who have more space have more flexibility, so there is this weird drive to try to use more cubes on making ""large"" buildings so that your town becomes full less quickly, and then you're more likely to drive your opponents out of the game first, so now you'll have more of your turns to call the colors you need, possibly getting to take the last several turns just by yourself which seems an extra nice boon in this game.

I really dislike those elements. Ultimately the game feels a bit too out of control for me, where I'm not convinced good play really matters as much as just kind of getting ""lucky"" in regards to starting down and playing out a strategy that doesn't get disrupted by opponents and instead jives with what they are and will do.

Update (July 2023): I'm still kind of unsure how to rate this, but I've now played a decent number of times over several years, so that's kind of a rare feat in of itself.

Overall, I'm moving the rating to a 6. There's some smart parts of this game and I do find myself wanting to play it once or twice a year which falls in line with a lot of what else I rate a 6.

There certainly is more skill than I granted above in learning how to be flexible in layouts and take advantage of things, but especially at the higher player counts, there's still this kind of general variance and unknowiness that leads to individual play mattering, but somewhat being outweighed by just a generally of how the players collectively let the game break and who emerges from that. Furthermore I think the various special buildings are kind of way out of whack, and so hoping to get dealt a good one is a bigger deal than it should be.

Ultimately though the game has some interesting choices, presents a fun spatial puzzle to solve for, and plays fast enough to make the whole package interesting for the rare game here and there. The main downside, and the reason I can't imagine ever rating this too much higher, is that it's also a very heads down game, with no central shared action, everyone is mostly calculating out their own stuff, and only occasionally will look up to try to figure out what cubes are coming next, or what call would mess up others. (Which to be clear, I'd rate this far far lower if you play with the deck of cards randomly deciding cube colors and not the players picking on their turn what color cube)"
9.4,A disaster mitigation city builder game disguised as a gateway family game. I was very hesitant to even try this game as the color scheme they chose for the main board and pieces really bounced off of me but I'm glad I did. It's a tricky little puzzle that has a lot going for it. The tactical decision when it's not your turn to think turns ahead and decide where yet another piece of wood would hurt the least is great and it's certainly a hard game to master. Solo variant is pretty decent as well although I feel like a die roll every other turn (when you're not choosing the resource) would feel more fitting to how the game actually feels.
7,"Starts out easy, but quickly gets very tight and you can very easily run out of moves, which may be a negative for many people. Make sure to plan ahead as best as you can. An interesting puzzle for those who don't mind not having all their plans come to fruition."
,"Sleeved (sleeve kings standard)
Folded space organizer
Expansions condensed into the base game"
8,High level of competition and fun for the relatively low amount of components and rules. Love the 6 player count too.
7,"Vine
A ""fill the grid"" game that's not as easy as it first appears. Quite puzzly."
,"[ Summer '23 ]
[ $45 from Indigo/Chapters (regular $65) ]"
4,"Passable, but it's one of those games you play and don't recall what you even did, it was that boring."
6,"I respect this game but it can really feel like such a squeeze getting the right tokens in time, and one wrong placement can mess everything up. Love the short simple ruleset, but boy does this one ever mess with your brain. Just not quite for me."
6,"I admit, when I first played this game, or first 3-4 plays I hated it. I felt it just failed immediately.
Since I have played it with smaller player count and it has been good. I picked it up super cheap with all expansions."
7,"Puzzle game with some interesting choices. Being too short sighted can cost points, but not watching short term can end your game quickly. Everything is meaningful."
4,Not good at high player counts. It might be better at solo or 2 player. But with my group we have too many players.
4.1,Very dry but stronger than many other roll-and-write-style games. Also relatively strong among solo games.
7,"Straightforward gameplay, place cubes to make patterns that let you construct point-scoring buildings. Not particularly interactive but there are opportunities to screw other players. Plays up to 6, which is cool.

Received from my BGG Secret Santa in 2019."
7,Smart family+ style game. Nice family style production. Can be a step too far for children and those completely unfamiliar to designer games. nice variability in the box with the different building cards.
8,"The game when I first bought it was played constantly. And multiple people we played it with went out and bought it themselves. It is complex enough to satisfy a heavy gamer and it is easy enough to teach to even newer players. These days, it doesn't get the most play time, but it is still pulled out every now and then and smiles are had all around."
6.5,Nice thinky lightweight euro. Can be a touch frustrating and punishing: it’s no fun being out and watching everyone else wrap up their excellent towns
7,"Really solid, fun game. It's really easy to learn and teach, but it is still challenging. It has excellent restrictions that keep it interesting. I love the variability in how each game uses different ways of scoring buildings. It is a pretty quick game. Nothing about it blows me away, but it's good!"
8,"Includes:
FLGS and Larkstone promo cards 2020,
Fortune expansion 2020,
Tiny trees 2020
fortune-pirates den promo card"
8.5,Harder at higher player counts. Nrain burning puzzle with a cute theme
6,"Gift from Kban.

Abstract Strategy
City Building
Puzzle
End Game Bonuses
Grid Coverage
Pattern Building
Solitaire Game

A group solo game.
Individual player boards with no interactions.
Place the randomly drawn color resources cubes on your grid with the goal of creating the pattern and colors needed to build scoring buildings/structures.
Some buildings scorings are independent.
Some need other buildings to score.
Others need proximity to other types.
Build your larger desired buildings first or you won't have the footprint in the later game.
Good idea to build structures of different color combos so you always have options."
7.5,"Despite the variability in terms of buildings, the game gets stale pretty quick.

It is still a great casual game and the high player count is appreciated and doesn't really impact game time which is a big plus."
7.4,An abstract game where you re trying to maximize space while being forced to put resources in your town that take up that space. There is a wide variety of combinations with this game some of which can really feel like its beating you down. The artwork does not represent the game play at all. I'm not even sure why there are animal -people on the box. I'm still up in the air how I feel about this one.
8.3,"Being fairly new to the hobby, maybe it’s just the type of games I’m drawn to, but this is yet another in a long line of games I like that’s almost more puzzle than game. Maybe it’s just coming from video games to board games it’s more noticeable to me. I like puzzles and I like Tiny Towns. It’s a good puzzle. It might even be a great puzzle. But after the wrapping comes off, it’s still mostly a puzzle.

I am drawn to wanting to play again which is always a good sign."
6,fun game with simple rules that makes you feel really stupid. Would recommend to play with draw deck for builder.
4.5,"Clean design with nice or nasty play modes, more fun in the former."
9,"2-4, Competitive, Resource Placement - Build structures using resource configurations while managing unwanted resources from opponents"
,"Top 100 Family
2020 Origins Awards Game of the Year Winner
2020 Origins Awards Best Board Game Winner"
7,"Light game that’s good for group play, solo mode is only okay"
7,"great game, expansions are clutter and I like it WAY more when everyone calls out resources rather than the cards! THAT way moves this quick game to an 8."
7,"- Villagers Expansion
- Fortune Expansion
- Tiny Trees Mini Expansion"
6,March 2023: played at boardgame club for the first time. Liked it more than I expected to! Had to think quite a bit about where to place cubes- the board gets crowded quite quickly! Will play it again but I don’t need to buy it at the present time. And I kept confusing it with Little Town!
6.5,"One paly only.

Fun spatial puzzle driven by neat cube selection mechanism in which each player selects a colour of cube which all players must take and place on their grid with a view to converting patterns of cubes in different colours into specific buildings which when placed are fixed.. At first that's easy, but when your board fills up it gets progressively harder- in our game, the player who was able to keep populating her board after everyone else was stuck won easily."
5,A clever spatial puzzle that scales very well - but it’s all so restricted that the challenge is more frustrating than enjoyable. It’s also a very big box for a game that essentially boils down to placing cubes on small boards.
6,"A set of randomized cards identifies the various arrangements of resource cubes necessary to construct various buildings in a 4x4 grid. Players take turns choosing which resource to acquire, but the chosen resource must be taken by all players, so it becomes a neat little spacial puzzle where everyone is trying to construct buildings that work well together to generate VPs, without getting bogged down with resources they cannot use."
7.5,"I like polyomino games. This had a variable setup with variable building powers/scoring to build your town. Good game with accessibility vs strategic depth.

One issue I didn't care for is being restricted to placing a building being called out by others, especially in a six player game, which caused too much havoc later in building my town. I read variants and expansions will mitigate/reduce this issue and will need to try that for future games."
6,"Beautiful looking game on the table with really nice components. The gameplay has a really strong spatial mechanic. Players are trying to create patterns to later change into buildings that score. I like that every game has different scoring cards, adds replay value to each game, but the game feels kind of chaotic. The cubes drawn and placed can really come back to haunt players. I'm willing explore more as it is a quicker playing game and perhaps I'll grow to like it more."
6,"The base set of building abilities all are fun and synergistic, but some combinations of building powers and especially monuments seem completely unbalanced and, honestly, untested, with how ridiculous they make the game state. At least it is quick so it isn't too offensive.

Update: I hate house ruling stuff but I just started taking the worst monument out of the pool every game and have only had positive experiences since.

Update again: Dropping to a 6. I find the solo game boring. 2-player, which is the main way I play games lately, is only slightly less boring, but doesn't really work at all. And if I have 3 or 4 or 5 players, there are many other games I'd prefer to play at those player counts. It is... fine. Game still looks great, though."
8,"HS #8 36, #9 28, #10 36
#11 27, #12 29, #13 25, #14 40"
,"+ Tiny Towns: Buildings Bags
+ Folded Space Insert

Expansions:
+ Tiny Towns: Fortune
+ Tiny Towns: Villagers
+ Tiny Towns: Tiny Trees (2020)
+ Tiny Towns: FLGS and Larkstone Promo Cards (2020)"
2.5,An incredible letdown. I don't understand how this one is popular at all.
3,"This and a series of other games makes me question whether I actually enjoy Polyomino mechanics. Jury is still out on that, but with this game, it was a huge misfire."
4,"I bought into Tiny Towns off of the theme and the art - thinking it would just be a really fun game to play on any casual day.

The game consists of taking turns naming a resource, and then putting that resource cube on your 4x4 city board. Once you make the same pattern of resources of one of the building cards, you can switch all those cubes out for a building meeple. Each building has its own end game scoring which can be fun. And that's basically it.

I felt that the board lacked enough space to really start making a city that felt substantial, and towards the end of the game all you can really do is make the same small building over and over again because you don't have any more space on the board. So the end game can become very drab and boring.

I think this game is fine, but not something I really have any desire to play again. I can see kids playing it mostly."
6.5,"Quick little game that has a lot more depth than what you see at first glance. One I look forward to trying again soon, but it probably says something that it doesn't hit the table very often with us."
7,"Good, but I'm bad at it. Would like to try using cards to pick the resources."
6,"Fun little game, very quick. Lots of different combos of buildings and they are each quite unique. Not much to say about this game. Fun, simple, and quick."
7,"This is clever, if a little raw and hard to win once a mistake is made. I'm not sure if I prefer with or without monuments – I love variable powers, who doesn't? and yet they also mean I might pick weird stuff other people can't use because it's straightforwardly GOOD for me, rather than because I am griefing them. Everyone having exactly the same conditions of struggle is a definite plus when playing without monuments."
4,This game just didn't do anything for me. Plays well with 2 people
7,"Pros:
+ Building is a clever puzzle
+ Quick play time
+ Variety of building so no two games play out the same

Cons:
- High variance with player selection of building blocks
- Some rounds can go especially poor for players"
6.5,"only soloed, quick to setup and tear down, feels a little lacking on decision making, and too light for me."
6,A fun resource management city builder game with a lot of deceptive strategy to it. One of the better games in the genre for sure.
6,"Tiny Towns is a fine game, but ultimately not something that is very exciting to play. It's quick and fairly simple to understand, but for what is essentially a filler game, it takes up too much space and lacks the punch we would want from something in short timeframe. AEG has trended towards these types of games, but the market has become increasingly saturated with them. Considering that, Tiny Towns just doesn't ""do"" enough to warrant a spot in our library."
10,"Such a great game. The fun of building a town in a simple game. Throw in the complications caused by what other players pick, and its a great game for large groups."
7,I like the concept of this game... but I am not good at it. I think it benefits from higher player counts.
8,"One of my new favorites, I'm constantly surprised by how much variety and strategy is hidden in such a simple game.

Tiny Towns is all of my favorite things about various board games rolled into one: it's easy to learn, quick to setup, tactile, strategic (but not overly cutthroat,) and plays in 30-60 minutes."
,"Best with 3, Plays 1, Plays 2, Plays 3, Plays 4, Plays 5, Solo, Playtime 45-60 minutes, Box Size 295x295mm,"
7,"My partner and I really enjoy this game and usually play 2 player. It's a great puzzle game with a cute theme, and doesn't take very long to play which makes it easy to break out on a week night after work.

The reason I deducted stars, is that thematically I think it would make sense for the game to give incentive for players to build multiple building types. Often some of the buildings are worth an incredible amount of points if you build multiple and so it makes sense to rush to build as many of those as possible, whereas some other buildings are only ever going to be worth a few points. Given the theme of building a ""tiny town"" there should be some sort of bonus or mechanism to obtain points for variety which would provide more incentive to build some of the other buildings that are worth less."
8.8,the simple complexity is growing on me more and more. seems like a basic game until you really get to the end rounds and realize you have to plan early for the sabotages coming.
7.5,"Great welcoming game. Bingo style, building a town in patterns of various resources. Can be mean at two players, but also there's a variant that makes it less interactive if wanted."
6.5,"Good game, replayable, easy to learn. Would love to see something other than blank colored cubes and boring artwork, but its fun none the less."
6.5,"Great game especially for large groups, this one comes out work work game lunches often."
6,"I think this is a solid game, but it didn't hit for us. I think we may have too many spatial/tile laying types of games."
,"build different buildings in your 4x4 grid by constructing patterns of cubes. the game is very simple. when it is your turn, you simply call out one of the 5 resources and everyone has to take that exact resource and place it on their board. each building is constructed with a different pattern of cubes and gets you points in different ways.

for 1-6 players, 10-15 mins to learn, 30-45 mins to play

great game for game night"
6,"Played Cascadia...then realized that I would never play this instead of Cascadia. Same scratched it, but Cascadia is much better and smoother"
8,"Having read many good reviews over the months since it's release & with player count from 1-6 this seems a perfect fit for my group.
Update: sold to friends who really enjoyed it as my cupboard was full!"
6.5,Picked up from AEG Black Friday. Nice gateway game. Not exactly my cup of tea but family liked it quite a bit.
8,So cute and fun to play! Need to bring it out more often.
6,"Not my type of game, but good to have in the collection to play with my casual gamer family."
5,Just a bit dull. Some of the cards that come out don't even seem that balanced as their are buildings that just really aren't worth building.
8,"A very good puzzle, but the game is MADE on two things:
- The different secret individual monument cards
- ""Calling"" a resource rather than just flipping it from the deck

Those make it so it's not everyone playing the same optimization over and over. The different resources provide different value when people are focusing on different building types with different tempos. Really clever."
7.5,"I wish I had taken the plunge for Tiny Towns when it first came out as I would’ve enjoyed it and played it even more back then. Don’t get me wrong it will still hit the table plenty, but I know this would’ve been a big hit had I owned it earlier in my board gaming adventures. - Read my review: https://boardgamereview.co.uk/game-reviews/tiny-towns-review..."
8,Great crunchy puzzle which plays well at high player counts and bellies cute theme.
7.5,"A nice, think-y puzzle for how short it is. Player interaction comes from trying to time your resource picks to give your opponents trouble."
7,"It's another one with little player interaction (unless you really want to slow the game down), but the puzzle is fun."
7,"Solid gameplay. Very little downtime. Good planning gout where you want to put your cubes on the board. We usually like to put some sport of time limit and I'm talking maybe no more than 15-20 seconds after somebody has said a resource, so the game can keep moving, plus it adds a bit of tension. Solid game. Very easy to learn and some variety as well."
6,"I played this game a bunch solo, and it was just OK. It can be VERY frustrating at times, especially near the end when nothing fits and you end up with a ton of empty spaces for negative points. That's not an enjoyable experience. Also, the solo game is heavily dependent on remembering the sequence of cards in the resource deck, and that's not something I'm interested in investing the mental power in.

It turns out to be more fun multiplayer, especially with more people as then you have less control over what resources come out. And I find that puzzle more enjoyable, trying to figure out what to do with resources that someone else calls that you don't need."
7,"BK's Solo 10x10 in 2022 List
 3rd Most Played Game of 2021 (15x)"
7.3,"Tight little resource drafting game with pattern management. Family friendly styling of cards with nicely shaped wood components. Player mat is made of thicker cardboard. I wish the cards were made of a thicker matte material.

Players build until each person cannot. This feature lets more experience players build their ‘town’ even though other players may finish first.

Great for couples and families who like puzzles. The resource/pattern management is too complex for kids."
9,"Enjoyed this way more than I expected I would, just looking at the box. Lots of interesting choices and special planning. Definitely want to play again!"
7.5,Clever little abstract town building game - good mix of control and chaos with four players.
6,"Meh. It's ok. Not bad, but nothing to get excited about either. We don't get it to the table very often."
3,"Eh, it was kinda alright. But not something I ever want to play again."
6,"Solo Rating: 7.5

This works very well as a solo game as a beat your own score affair. And if you start finding it too easy you can always play using the ""Town Hall"" rules to make it more challenging.

Recommended player count: 1-6

I would probably only use the ""Town Hall"" rules when playing with 5 or 6 players.

Comments:

The one three player game I've had was a surprising amount of fun. Done and dusted in 45 minutes including setup and teaching time.

Mostly I've played this solo and have enjoyed it very much so far. The main difference in multi-player is that you're more likely to have some unwanted resource foisted upon you. All part of the fun.

Why I got rid of it:

The core game play began to feel a little stale for me and I disliked the fact that some types of builds just seemed to be not worth bothering with most of the time. Some element of balance was not quite there."
6,"Solitaire puzzle akin to railroad ink. Like this more than railroad ink but it isn't terribly deep, seems pleasant enough to play in low doses."
6,"Perfectly fine game that I am happy to play, but I do not need to own."
8,"Very accessible to every gamer, deep enough to keep interest, and a fun 30-45 minute filler. It plays best at 3-4, while solo play, 2 player, and 5-6 players are all still good. Great game overall! Would recommend it if you like Azul."
