Sujeto,Relación,Objeto
Components: 4 x 4 Grids,Related Game,Quadropolis
Components: 4 x 4 Grids,Related Game,Tak
Components: 4 x 4 Grids,Related Game,Quarto
Tiny Towns,Family,Components: Wooden pieces & boards
Components: Wooden pieces & boards,Descripcion,"Games (expansions, promos, etc.) using Wooden pieces & boards components in gameplay. Actual components, not just images or theme.
Games using sculpted wooden components, meeples, round pieces etc...
Does not apply to block wargames, the box/container or just wooden dice included in a game."
Components: Wooden pieces & boards,Related Game,Spirit Island
Components: Wooden pieces & boards,Related Game,Great Western Trail
Components: Wooden pieces & boards,Related Game,Scythe
Components: Wooden pieces & boards,Related Game,A Feast for Odin
Components: Wooden pieces & boards,Related Game,Root
Components: Wooden pieces & boards,Related Game,Terra Mystica
Tiny Towns,Family,Digital Implementations: Sovranti
Digital Implementations: Sovranti,Descripcion,"Sovranti is an online, app based platform on WIndows, iOS, and Android to play board games."
Digital Implementations: Sovranti,Related Game,The Isle of Cats
Digital Implementations: Sovranti,Related Game,Planet Unknown
Digital Implementations: Sovranti,Related Game,Space Base
Digital Implementations: Sovranti,Related Game,Sushi Go Party!
Digital Implementations: Sovranti,Related Game,Skull King
Digital Implementations: Sovranti,Related Game,Tiny Towns
Tiny Towns,Family,Occupation: Architect
Occupation: Architect,Descripcion,"A family class for games where the players have the role of Architects
Related BGG families:
Games about building houses in the context of their neighbourhood: Theme: City
Games about building individual houses: Theme: Construction
Theme: Rooms: Interiour Design, Home Decoration, Tidying Theme: Rooms: Interiour Design, Home Decoration, Tidying"
Occupation: Architect,Related Game,Barrage
Occupation: Architect,Related Game,Architects of the West Kingdom
Occupation: Architect,Related Game,Castles of Mad King Ludwig
Occupation: Architect,Related Game,Tiletum
Occupation: Architect,Related Game,Chinatown
Occupation: Architect,Related Game,Tiny Towns
Tiny Towns,Family,Players: Games with Solitaire Rules
Players: Games with Solitaire Rules,Descripcion,"Games (expansions, promos, etc.) that include rules for solitaire play.
This family includes games with an official solitaire variant that is made available by the game's publisher or designer, but it excludes games that need an expansion for solitaire play (though that expansion would be allowed in this family).
Games that claim to be playable solitaire, but don't have any solitaire rules are excluded from this family.
This family also includes wargames.
See also Players: Wargames with Solitaire Rules and Players: Solitaire Only Games
Microbadges
Solitaire Gamer
Rolling for one"
Players: Games with Solitaire Rules,Related Game,Ark Nova
Players: Games with Solitaire Rules,Related Game,Gloomhaven
Players: Games with Solitaire Rules,Related Game,Dune: Imperium
Players: Games with Solitaire Rules,Related Game,Terraforming Mars
Players: Games with Solitaire Rules,Related Game,Spirit Island
Players: Games with Solitaire Rules,Related Game,Gloomhaven: Jaws of the Lion
Tiny Towns,Family,Theme: Anthropomorphic Animals
Theme: Anthropomorphic Animals,Descripcion,"Games featuring animals that behave like humans: Wear cloth, sell goods, etc."
Theme: Anthropomorphic Animals,Related Game,Root
Theme: Anthropomorphic Animals,Related Game,Everdell
Theme: Anthropomorphic Animals,Related Game,Apiary
Theme: Anthropomorphic Animals,Related Game,Bunny Kingdom
Theme: Anthropomorphic Animals,Related Game,Flamecraft
Theme: Anthropomorphic Animals,Related Game,"Air, Land, & Sea"
Tiny Towns,Family,Theme: City
Theme: City,Descripcion,"Games (expansions, promos, etc.) featuring a generic City in theme or gameplay.
Games having a generic city as a theme. If the city is a named existing city or part of a known fantastic universe, it cannot belong to this category.
Related BGG families:
Games about building houses in the context of their neighbourhood: Theme: City
Games about building individual houses: Theme: Construction
Theme: Rooms: Interiour Design, Home Decoration, Tidying Theme: Rooms: Interiour Design, Home Decoration, Tidying
Occupation: Architect Occupation: Architect"
Theme: City,Related Game,Suburbia
Theme: City,Related Game,My City
Theme: City,Related Game,MicroMacro: Crime City
Theme: City,Related Game,Tiny Towns
Theme: City,Related Game,Sprawlopolis
Theme: City,Related Game,Quadropolis
